date,armed,age,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude
2015-01-02,gun,53.0,American Native,Shelton,Washington,True,attack,Not fleeing,False,-123.122,47.247
2015-01-02,gun,47.0,White,Aloha,Oregon,False,attack,Not fleeing,False,-122.892,45.487
2015-01-03,unarmed,23.0,Hispanic,Wichita,Kansas,False,other,Not fleeing,False,-97.281,37.695
2015-01-04,toy gun,32.0,White,San Francisco,California,True,attack,Not fleeing,False,-122.422,37.763
2015-01-04,miscellaneous lethal weapons,39.0,Hispanic,Evans,Colorado,False,attack,Not fleeing,False,-104.692,40.384
2015-01-04,gun,18.0,White,Guthrie,Oklahoma,False,attack,Not fleeing,False,-97.423,35.877
2015-01-05,gun,22.0,Hispanic,Chandler,Arizona,False,attack,Car,False,-111.841,33.328
2015-01-06,gun,35.0,White,Assaria,Kansas,False,attack,Not fleeing,False,-97.564,38.704
2015-01-06,unarmed,34.0,White,Burlington,Iowa,False,other,Not fleeing,True,-91.119,40.809
2015-01-06,toy gun,47.0,Black,Knoxville,Pennsylvania,False,attack,Not fleeing,False,-79.991,40.413
2015-01-06,knife,25.0,White,Stockton,California,False,attack,Not fleeing,False,-121.299,37.93
2015-01-07,gun,31.0,Black,Freeport,Texas,False,attack,Not fleeing,False,-95.369,28.955
2015-01-07,knife,41.0,Black,Columbus,Ohio,True,other,Not fleeing,False,-82.885,39.999
2015-01-07,gun,30.0,White,Des Moines,Iowa,False,attack,Car,False,-93.609,41.582
2015-01-07,gun,37.0,Black,New Orleans,Louisiana,False,attack,Foot,True,-90.012,30.022
2015-01-08,NG,28.0,White,Huntley,Montana,False,undetermined,Not fleeing,False,-108.315,45.859
2015-01-08,deadly blunt objects,42.0,White,Salt Lake City,Utah,False,attack,Not fleeing,True,-111.872,40.772
2015-01-08,unarmed,36.0,Black,Strong,Arkansas,False,attack,Not fleeing,False,-92.359,33.111
2015-01-08,gun,49.0,White,Syracuse,Utah,False,attack,Not fleeing,True,-112.083,41.083
2015-01-09,gun,71.0,White,England,Arkansas,False,attack,Not fleeing,False,-91.966,34.542
2015-01-09,gun,33.0,Hispanic,El Paso,Texas,False,attack,Not fleeing,False,-106.439,31.858
2015-01-11,gun,39.0,White,Arcola,Illinois,True,attack,Not fleeing,False,-88.304,39.692
2015-01-11,gun,23.0,Hispanic,South Gate,California,False,attack,Not fleeing,False,-118.183,33.951
2015-01-11,gun,29.0,Hispanic,North Las Vegas,Nevada,False,attack,Foot,False,-115.116,36.185
2015-01-13,gun,34.0,White,Albuquerque,New Mexico,False,attack,Foot,True,-106.586,35.095
2015-01-13,knife,43.0,White,Jourdanton,Texas,True,other,Not fleeing,False,-98.542,28.912
